4030000141;4030000111;Terre Nouvelle - Responsables Vente;4030000007;Terre Nouvelle;4.3.9 - 8;0403090800;;
4030000147;4030000148;Terre Nouvelle - Ouverture sur le Monde;4030000007;Terre Nouvelle;4.3.9 - 9;0403090900;;
4030000305;4030000194;Coup de pouce 2005-lettres E-F+arrivées 01.07.04-31.07.05;4030000007;Terre Nouvelle;4.3.9 - 10;0403091000;;
4030000321;4030000205;Coup de Pouce 2006 /arrivées 1.7.05-31.7.05 + lettres G-H-I;4030000007;Terre Nouvelle;4.3.9 - 11;0403091100;;
4030000334;4030000215;Coup de pouce 07/1.08.06-31.07.07+JKL;4030000007;Terre Nouvelle;4.3.9 - 12;0403091200;;
4030000350;4030000226;Coup de pouce 1.8.07 au 31.7.08+M;4030000007;Terre Nouvelle;4.3.9 - 13;0403091300;;
4030000372;4030000008;Office de Taizé;4030000008;Adultes;4.3.6 - 1;0403060100;;
4030000323;4030000015;Parkings des Jardins - Locataires;4030000008;Adultes;4.3.6 - 2;0403060101;;
4030000322;4030000029;Alphalive 07 - Groupe 1;4030000008;Adultes;4.3.6 - 3;0403060102;;
4030000340;4030000031;Cathares 08;4030000008;Adultes;4.3.6 - 4;0403060103;;
4030000162;4030000082;Camp Assise 2003;4030000008;Adultes;4.3.6 - 5;0403060104;;
4030000366;4030000119;Veillée 2009-2010;4030000008;Adultes;4.3.6 - 6;0403060105;;
4030000362;4030000123;Camp Tessin 2010;4030000008;Adultes;4.3.6 - 7;0403060106;;
4030000157;4030000160;Envoi pub Spiritualité;4030000008;Adultes;4.3.6 - 8;0403060107;;
4030000286;4030000176;Alphalive - animateurs;4030000008;Adultes;4.3.6 - 9;0403060108;;
4030000287;4030000177;M-Cumulus;4030000008;Adultes;4.3.6 - 10;0403060109;;
4030000288;4030000178;Alpha Live 05 - participants;4030000008;Adultes;4.3.6 - 11;0403060110;;
4030000290;4030000180;La Bible et nous;4030000008;Adultes;4.3.6 - 12;0403060111;;
4030000293;4030000183;Chapelle - inauguration/responsables;4030000008;Adultes;4.3.6 - 13;0403060112;;
4030000302;4030000191;Jeunes Adultes;4030000008;Adultes;4.3.6 - 14;0403060113;;
4030000316;4030000200;Montmeyran 06;4030000008;Adultes;4.3.6 - 15;0403060114;;
4030000318;4030000202;Spiritualité 2004-2009;4030000008;Adultes;4.3.6 - 16;0403060115;;
4030000319;4030000203;Repas bénévoles 2006;4030000008;Adultes;4.3.6 - 17;0403060116;;
4030000324;4030000206;Alphalive 07 - Groupe 2;4030000008;Adultes;4.3.6 - 18;0403060117;;
4030000328;4030000210;Taizé 07-08;4030000008;Adultes;4.3.6 - 19;0403060118;;
