;;;;Catégories;;;;;;Groupes réels;;;Accès tâches utilisateur;;;;;;;;;;;;;;Région Morges;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Secrétariats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;; Central;;;Régional;;;Paroissial;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Superstructures groupes A;;Superstructures groupes B;;Superstructures groupes C;;Groupes;;Sous-Groupes A;Consultation;Composition;Définition;Consultation;Composition;Définition;Consultation;Composition;Définition;Abacus;A décider…;Focntions;Bénévoles;Code FM pro;;;;;;;;;;;;;;;;;;
21190;2.1.1 - 1.2;0201010102;;;;;;;;;8;Délégations Régions 8;O;;;O;O;;O;;;Y;;;;Syn 08;;;;;;;;;;;;;;;;;;
21200;2.1.1 - 1.3;0201010103;;;;;;;;;9;Délégations Régions 9;O;;;O;O;;O;;;Y;;;;Syn 09;;;;;;;;;;;;;;;;;;
21210;2.1.1 - 1.4;0201010104;;;;;;;;;10;Délégations Régions 10;O;;;O;O;;O;;;Y;;;;Syn 10;;;;;;;;;;;;;;;;;;
21220;2.1.1 - 1.5;0201010105;;;;;;;;;11;Délégations Régions 11;O;;;O;O;;O;;;Y;;;;Syn 11;;;;;;;;;;;;;;;;;;
21230;2.1.1 - 1.6;0201010106;;;;;;;;;12;Délégation PLA;O;O;;O;;;O;;;Y;;;;Syn PLA;;;;;;;;;;;;;;;;;;
21240;2.1.1 - 1.7;0201010107;;;;;;;;;13;Délégation Cantonaux;O;O;;O;;;O;;;Y;;;;Syn Min;;;;;;;;;;;;;;;;;;
21250;2.1.1 - 1.8;0201010108;;;;;;;;;14;Délégation Etat;O;O;;O;;;O;;;Y;?;;;Syn Eta;;;;;;;;;;;;;;;;;;
21260;2.1.1 - 1.9;0201010109;;;;;;;;;15;Délégation FTSR;O;O;;O;;;O;;;Y;?;;;Syn Pro;;;;;;;;;;;;;;;;;;
21300;2.1.2;0201020000;;;;;2;Conseils;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21310;2.1.2 - 1;0201020100;;;;;;;1;Conseil synodal;;;O;O;;O;;;O;;;Y;;2;;CSY;;;;;;;;;;;;;;;;;;
21320;2.1.2 - 2;0201020200;;;;;;;2;Conseil SFA;;;O;O;;O;;;O;;;Y;;2;;SFA;;;;;;;;;;;;;;;;;;
21330;2.1.2 - 3;0201020300;;;;;;;3;Conseil SSAS;;;O;O;;O;;;O;;;Y;;;;SSAS;;;;;;;;;;;;;;;;;;
21340;2.1.2 - 4;0201020400;;;;;;;4;Conseil STN;;;O;O;;O;;;O;;;Y;;2;;TN;;;;;;;;;;;;;;;;;;
21350;2.1.2 - 5;0201020500;;;;;;;5;Conseil SVCC;;;O;O;;O;;;O;;;Y;;2;;SVCC;;;;;;;;;;;;;;;;;;
21360;2.1.2 - 6;0201020600;;;;;;;6;Conseil Lieu-phare La Cathédrale;;;O;O;;O;;;O;;;;?;2;;CPHARES;;;;;;;;;;;;;;;;;;
21370;2.1.2 - 7;0201020700;;;;;;;7;Conseil Lieu-phare L'Esprit Sainf;;;O;O;;O;;;O;;;;?;2;;"""";;;;;;;;;;;;;;;;;;
21380;2.1.2 - 8;0201020800;;;;;;;8;Conseil Lieu-phare St-Laurent Eglise;;;O;O;;O;;;O;;;;?;2;;"""";;;;;;;;;;;;;;;;;;
21400;2.1.3;0201030000;;;;;3;Commissions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21410;2.1.3 - 1;0201030100;;;;;;;1;Commission de consécration;;;O;O;;O;;;O;;;Y;;3;;CRA;;;;;;;;;;;;;;;;;;
21420;2.1.3 - 2;0201030200;;;;;;;2;Bureau d'agrégation de la CommCons.;;;O;O;;O;;;O;;;Y;;3;;BACRA;;;;;;;;;;;;;;;;;;
21430;2.1.3 - 3;0201030300;;;;;;;3;Commission des finances du Synode;;;O;O;;O;;;O;;;Y;;3;;FIN;;;;;;;;;;;;;;;;;;
21440;2.1.3 - 4;0201030400;;;;;;;4;Commission de gestion;;;O;O;;O;;;O;;;Y;;3;;GES;;;;;;;;;;;;;;;;;;
21450;2.1.3 - 5;0201030500;;;;;;;5;Commission de discipline;;;O;O;;O;;;O;;;Y;;3;;DISCIP;;;;;;;;;;;;;;;;;;
21460;2.1.3 - 6;0201030600;;;;;;;6;Commission de recours discipline;;;O;O;;O;;;O;;;Y;;3;;DISCIPREC;;;;;;;;;;;;;;;;;;
21470;2.1.3 - 7;0201030700;;;;;;;7;Commission de recours procédure;;;O;O;;O;;;O;;;Y;;3;;PROCE;;;;;;;;;;;;;;;;;;
