Début;DesG;DesSG;Fin;IdxG;IdxP;IdxPar;IdxSG;TexteLibre
;non;Sélection;;403110101;9010000479;9010000000;403110100;
;non;Sélection;;403110101;9010000480;9010000000;403110100;
;non;Sélection;;403110101;9010000481;9010000000;403110100;
;non;Sélection;;403110101;9010000482;9010000000;403110100;
;non;Sélection;;403110101;9010000483;9010000000;403110100;
;non;Sélection;;403110101;9010000484;9010000000;403110100;
;non;Sélection;;403110101;9010000486;9010000000;403110100;
;non;Sélection;;403110101;9010000487;9010000000;403110100;
;non;Sélection;;403110101;9010000488;9010000000;403110100;
;non;Sélection;;403110101;9010000489;9010000000;403110100;
;non;Sélection;;403110101;9010000490;9010000000;403110100;
;non;Sélection;;403110101;9010000492;9010000000;403110100;
;non;Sélection;;403110101;9010000493;9010000000;403110100;
;non;Sélection;;403110101;9010000494;9010000000;403110100;
;non;Sélection;;403110101;9010000495;9010000000;403110100;
;non;Sélection;;403110101;9010000496;9010000000;403110100;
;non;Sélection;;403110101;9010000497;9010000000;403110100;
;non;Sélection;;403110101;9010000498;9010000000;403110100;
;non;Sélection;;403110101;9010000500;9010000000;403110100;
;non;Sélection;;403110101;9010000501;9010000000;403110100;
;non;Sélection;;403110101;9010000502;9010000000;403110100;
;non;Sélection;;403110101;9010000503;9010000000;403110100;
;non;Sélection;;403110101;9010000504;9010000000;403110100;
;non;Sélection;;403110101;9010000505;9010000000;403110100;
;non;Sélection;;403110101;9010000506;9010000000;403110100;
;non;Sélection;;403110101;9010000507;9010000000;403110100;
;non;Sélection;;403110101;9010000508;9010000000;403110100;
;non;Sélection;;403110101;9010000509;9010000000;403110100;
;non;Sélection;;403110101;9010000510;9010000000;403110100;
;non;Sélection;;403110101;9010000511;9010000000;403110100;
;non;Sélection;;403110101;9010000512;9010000000;403110100;
;non;Sélection;;403110101;9010000513;9010000000;403110100;
;non;Sélection;;403110101;9010000514;9010000000;403110100;
;non;Sélection;;403110101;9010000515;9010000000;403110100;
;non;Sélection;;403110101;9010000516;9010000000;403110100;
;non;Sélection;;403110101;9010000517;9010000000;403110100;
;non;Sélection;;403110101;9010000518;9010000000;403110100;
;non;Sélection;;403110101;9010000519;9010000000;403110100;
;non;Sélection;;403110101;9010000520;9010000000;403110100;
;non;Sélection;;403110101;9010000521;9010000000;403110100;
;non;Sélection;;403110101;9010000522;9010000000;403110100;
;non;Sélection;;403110101;9010000523;9010000000;403110100;
;non;Sélection;;403110101;9010000524;9010000000;403110100;
;non;Sélection;;403110101;9010000525;9010000000;403110100;
;non;Sélection;;403110101;9010000526;9010000000;403110100;
;non;Sélection;;403110101;9010000527;9010000000;403110100;
;non;Sélection;;403110101;9010000528;9010000000;403110100;
;non;Sélection;;403110101;9010000530;9010000000;403110100;
;non;Sélection;;403110101;9010000532;9010000000;403110100;
;non;Sélection;;403110101;9010000533;9010000000;403110100;
;non;Sélection;;403110101;9010000535;9010000000;403110100;
;non;Sélection;;403110101;9010000538;9010000000;403110100;
;non;Sélection;;403110101;9010000539;9010000000;403110100;
;non;Sélection;;403110101;9010000540;9010000000;403110100;
;non;Sélection;;403110101;9010000541;9010000000;403110100;
;non;Sélection;;403110101;9010000542;9010000000;403110100;
;non;Sélection;;403110101;9010000543;9010000000;403110100;
;non;Sélection;;403110101;9010000544;9010000000;403110100;
;non;Sélection;;403110101;9010000545;9010000000;403110100;
;non;Sélection;;403110101;9010000546;9010000000;403110100;
;non;Sélection;;403110101;9010000552;9010000000;403110100;
;non;Sélection;;403110101;9010000554;9010000000;403110100;
;non;Sélection;;403110101;9010000555;9010000000;403110100;
;non;Sélection;;403110101;9010000556;9010000000;403110100;
;non;Sélection;;403110101;9010000558;9010000000;403110100;
;non;Sélection;;403110101;9010000559;9010000000;403110100;
;non;Sélection;;403110101;9010000560;9010000000;403110100;
;non;Sélection;;403110101;9010000561;9010000000;403110100;
;non;Sélection;;403110101;9010000562;9010000000;403110100;
;non;Sélection;;403110101;9010000563;9010000000;403110100;
;non;Sélection;;403110101;9010000565;9010000000;403110100;
;non;Sélection;;403110101;9010000566;9010000000;403110100;
;non;Sélection;;403110101;9010000567;9010000000;403110100;
;non;Sélection;;403110101;9010000569;9010000000;403110100;
;non;Sélection;;403110101;9010000571;9010000000;403110100;
;non;Sélection;;403110101;9010000572;9010000000;403110100;
;non;Sélection;;403110101;9010000573;9010000000;403110100;
;non;Sélection;;403110101;9010000574;9010000000;403110100;
;non;Sélection;;403110101;9010000575;9010000000;403110100;
;non;Sélection;;403110101;9010000576;9010000000;403110100;
;non;Sélection;;403110101;9010000577;9010000000;403110100;
;non;Sélection;;403110101;9010000578;9010000000;403110100;
;non;Sélection;;403110101;9010000580;9010000000;403110100;
;non;Sélection;;403110101;9010000581;9010000000;403110100;
;non;Sélection;;403110101;9010000582;9010000000;403110100;
;non;Sélection;;403110101;9010000583;9010000000;403110100;
;non;Sélection;;403110101;9010000587;9010000000;403110100;
;non;Sélection;;403110101;9010000588;9010000000;403110100;
;non;Sélection;;403110101;9010000589;9010000000;403110100;
;non;Sélection;;403110101;9010000590;9010000000;403110100;
;non;Sélection;;403110101;9010000591;9010000000;403110100;
;non;Sélection;;403110101;9010000592;9010000000;403110100;
;non;Sélection;;403110101;9010000594;9010000000;403110100;
;non;Sélection;;403110101;9010000595;9010000000;403110100;
;non;Sélection;;403110101;9010000596;9010000000;403110100;
;non;Sélection;;403110101;9010000597;9010000000;403110100;
;non;Sélection;;403110101;9010000598;9010000000;403110100;
;non;Sélection;;403110101;9010000599;9010000000;403110100;
;non;Sélection;;403110101;9010000600;9010000000;403110100;
;non;Sélection;;403110101;9010000601;9010000000;403110100;
;non;Sélection;;403110101;9010000602;9010000000;403110100;
;non;Sélection;;403110101;9010000604;9010000000;403110100;
;non;Sélection;;403110101;9010000605;9010000000;403110100;
;non;Sélection;;403110101;9010000607;9010000000;403110100;
;non;Sélection;;403110101;9010000608;9010000000;403110100;
;non;Sélection;;403110101;9010000610;9010000000;403110100;
;non;Sélection;;403110101;9010000611;9010000000;403110100;
;non;Sélection;;403110101;9010000613;9010000000;403110100;
;non;Sélection;;403110101;9010000614;9010000000;403110100;
;non;Sélection;;403110101;9010000616;9010000000;403110100;
;non;Sélection;;403110101;9010000617;9010000000;403110100;
;non;Sélection;;403110101;9010000619;9010000000;403110100;
;non;Sélection;;403110101;9010000620;9010000000;403110100;
;non;Sélection;;403110101;9010000621;9010000000;403110100;
;non;Sélection;;403110101;9010000623;9010000000;403110100;
;non;Sélection;;403110101;9010000624;9010000000;403110100;
;non;Sélection;;403110101;9010000625;9010000000;403110100;
;non;Sélection;;403110101;9010000626;9010000000;403110100;
;non;Sélection;;403110101;9010000627;9010000000;403110100;
;non;Sélection;;403110101;9010000636;9010000000;403110100;
;non;Sélection;;403110101;9010000640;9010000000;403110100;
;non;Sélection;;403110101;9010000641;9010000000;403110100;
;non;Sélection;;403110101;9010000642;9010000000;403110100;
;non;Sélection;;403110101;9010000644;9010000000;403110100;
;non;Sélection;;403110101;9010000647;9010000000;403110100;
;non;Sélection;;403110101;9010000648;9010000000;403110100;
;non;Sélection;;403110101;9010000650;9010000000;403110100;
;non;Sélection;;403110101;9010000651;9010000000;403110100;
;non;Sélection;;403110101;9010000652;9010000000;403110100;
;non;Sélection;;403110101;9010000653;9010000000;403110100;
;non;Sélection;;403110101;9010000655;9010000000;403110100;
;non;Sélection;;403110101;9010000656;9010000000;403110100;
;non;Sélection;;403110101;9010000658;9010000000;403110100;
;non;Sélection;;403110101;9010000660;9010000000;403110100;
;non;Sélection;;403110101;9010000661;9010000000;403110100;
